"state","fdid","fd_name","year","type","total","structure","mobile","mh","veg","rubbish","special","crop","other","not_fire"
"CA","33090","RIVERSIDE CFD","2007","Battery","2","1","1","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2007","Other","2836","289","662","81","271","638","90","21","175","609"
"CA","33090","RIVERSIDE CFD","2008","Other","2418","291","611","72","250","486","81","10","128","489"
"CA","33090","RIVERSIDE CFD","2009","Other","1822","260","439","37","196","317","54","13","110","396"
"CA","33090","RIVERSIDE CFD","2010","Other","1530","160","342","40","182","300","53","10","73","370"
"CA","33090","RIVERSIDE CFD","2011","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2011","Other","1703","154","331","50","262","351","66","8","78","403"
"CA","33090","RIVERSIDE CFD","2012","Other","1127","128","204","24","187","211","38","6","50","279"
"CA","33090","RIVERSIDE CFD","2013","Other","1714","207","344","39","270","349","34","9","63","399"
"CA","33090","RIVERSIDE CFD","2014","Other","1696","210","343","32","236","349","37","12","76","401"
"CA","33090","RIVERSIDE CFD","2015","Other","1699","196","382","31","246","308","34","13","87","402"
"CA","33090","RIVERSIDE CFD","2016","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2016","Other","1619","182","358","34","215","291","45","10","73","411"
"CA","33090","RIVERSIDE CFD","2017","Other","41352","173","459","40","304","333","46","8","70","39919"
"CA","33090","RIVERSIDE CFD","2018","Battery","1","1","0","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2018","Other","40778","167","429","46","353","418","35","7","72","39251"
"CA","33090","RIVERSIDE CFD","2019","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2019","Other","41923","170","198","19","288","220","28","13","2","40985"
"CA","33090","RIVERSIDE CFD","2020","Battery","1","0","1","0","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2020","Other","43610","283","477","42","364","470","52","26","0","41896"
"CA","33090","RIVERSIDE CFD","2021","Battery","2","1","0","1","0","0","0","0","0","0"
"CA","33090","RIVERSIDE CFD","2021","Other","46697","350","447","47","252","480","34","14","0","45073"
"CA","33090","RIVERSIDE CFD","2022","Battery","4","2","1","0","0","0","1","0","0","0"
"CA","33090","RIVERSIDE CFD","2022","Other","49625","296","459","50","310","611","33","12","0","47854"
"CA","33090","RIVERSIDE CFD","2023","Battery","4","1","1","1","0","0","1","0","0","0"
"CA","33090","RIVERSIDE CFD","2023","Other","50678","292","403","53","296","541","57","14","0","49022"
