"state","fdid","fd_name","year","month","prop_use","property","casualties","tod","area_orig","room","fire_sprd","city","state_id","zip5","sup_fac","wkt"
"HI","52000","Honolulu Fire Department","2023","11","429","Multifamily dwellings","No","19","14","Common room, den, family room, living room, lounge","2","mililani","hi","96789","NNN","SRID=4326;POINT(-158.020751 21.4659)"
"HI","52000","Honolulu Fire Department","2023","9","419","1 or 2 family dwelling","No","7","40","Storage area, other","4","wahiawa","hi","96786","NNN","SRID=4326;POINT(-158.026341 21.5014)"
"HI","52000","Honolulu Fire Department","2023","7","429","Multifamily dwellings","No","1","21","Bedroom - < 5 persons; included are jail or prison","2","honolulu","hi","96815","","SRID=4326;POINT(-157.832825749891 21.2876314799829)"
"IA","07009","WATERLOO FIRE DEPT","2023","4","419","1 or 2 family dwelling","No","15","23","Dining room, cafeteria bar area, beverage service","2","waterloo","ia","50702","NNN","SRID=4326;POINT(-92.350948 42.485677)"
"HI","53000","Kauai County Fire Department","2023","9","419","1 or 2 family dwelling","No","10","47","Vehicle storage area; garage, carport","1","wailua","hi","96746","","SRID=4326;POINT(-159.380872 22.060167)"
"IA","57003","CEDAR RAPIDS","2023","8","807","Outside material storage area","No","18","43","Storage: supplies or tools; dead storage","1","cedar rapids","ia","52404","NNN","SRID=4326;POINT(-91.652252 41.937771)"
"IA","77006","CLIVE FIRE DEPT","2023","8","419","1 or 2 family dwelling","No","4","14","Common room, den, family room, living room, lounge","2","city of clive","ia","50325","NNN","SRID=4326;POINT(-93.721381 41.603054)"
"IA","57003","CEDAR RAPIDS","2023","4","429","Multifamily dwellings","No","10","20","Function area, other","2","cedar rapids","ia","52403","NNN","SRID=4326;POINT(-91.619692 41.969269)"
"IA","57010","HIAWATHA FIRE DEPT","2023","9","419","1 or 2 family dwelling","No","7","24","Cooking area, kitchen","2","cedar rapids","ia","52411","NNN","SRID=4326;POINT(-91.727252 42.030576)"
"ID","01313","MERIDIAN FD","2023","3","419","1 or 2 family dwelling","No","19","25","Bathroom, checkroom, lavatory, locker room","2","kuna","id","83634","","SRID=4326;POINT(-116.43315 43.492912)"
"ID","01100","Boise City Fire Department","2023","7","881","Parking garage, (detached residential garage)","No","19","75","Wall assembly","2","boise","id","83705","","SRID=4326;POINT(-116.218821 43.582341)"
"ID","01100","Boise City Fire Department","2023","3","419","1 or 2 family dwelling","No","19","25","Bathroom, checkroom, lavatory, locker room","2","kuna","id","83634","","SRID=4326;POINT(-116.43315 43.492912)"
"ID","19101","Idaho Falls Fire Dept","2023","12","419","1 or 2 family dwelling","No","16","14","Common room, den, family room, living room, lounge",NULL,"idaho falls","id","83402","","SRID=4326;POINT(-112.091267 43.506508)"
"ID","01344","Eagle FPD","2023","2","419","1 or 2 family dwelling","No","19","47","Vehicle storage area; garage, carport","2","eagle","id","83616","","SRID=4326;POINT(43.709819 -116.34851)"
"IL","CS132","ORLAND FPD","2023","8","700","Manufacturing, processing","No","7","41","Storage room, area, tank, or bin",NULL,"mokena","il","60448","NNN","SRID=4326;POINT(-87.860683 41.543445)"
"IL","AA184","MENDON VFD","2023","4","419","1 or 2 family dwelling","No","14","47","Vehicle storage area; garage, carport","2","mendon","il","62351","NNN","SRID=4326;POINT(-91.243007 40.12162)"
"ID","23316","ARCO FIRE DEPARTMENT","2023","6","419","1 or 2 family dwelling","No","6","20","Function area, other","4","moore","id","83255","NNN","SRID=4326;POINT(-113.368466 43.768999)"
"IL","CS132","ORLAND FPD","2023","10","400","Residential, other","No","10","20","Function area, other","1","orland park","il","60462","NNN","SRID=4326;POINT(-87.870075 41.616706)"
"IL","CS172","BEDFORD PARK FD","2023","8","579","Motor vehicle or boat sales, services, repair","No","9","83","Engine area, running gear, wheel area","1","bedford park","il","60501","","SRID=4326;POINT(-87.823463 41.780204)"
"IL","WG274","MOKENA FPD","2023","8","500","Mercantile, business, other","No","6","65","Maintenance shop or area, paint shop or area","2","mokena","il","60448","NNN","SRID=4326;POINT(-87.860683 41.543445)"
"IL","DC173","TUSCOLA FD","2023","4","419","1 or 2 family dwelling","No","0","14","Common room, den, family room, living room, lounge","2","tuscola","il","61953","NNN","SRID=4326;POINT(-88.285411 39.802328)"
"IL","SB111","SPRINGFIELD FD","2023","4","419","1 or 2 family dwelling","No","14","40","Storage area, other","5","springfield","il","62707","NNN","SRID=4326;POINT(-89.711445 39.851639)"
"IL","CS931","CHICAGO FD","2023","6","500","Mercantile, business, other","No","18","35","Computer room, control room or center","1","chicago","il","60641","","SRID=4326;POINT(-87.742672 41.931618)"
"IL","PA224","PEORIA HEIGHTS FD","2023","2","899","Residential or self storage units","No","14","41","Storage room, area, tank, or bin","4","peoria heights","il","61616","","SRID=4326;POINT(-89.588215 40.741892)"
"IN","30003","Greenfield Station 1","2023","11","419","1 or 2 family dwelling","Yes","13","14","Common room, den, family room, living room, lounge","2","greenfield","in","46140","NNN","SRID=4326;POINT(-85.769774 39.789206)"
"IN","01004","Geneva Volunteer Fire Departme","2023","7","400","Residential, other","No","7","80","Vehicle area, other","2","town of geneva","in","46740","NNN","SRID=4326;POINT(-84.961115 40.601666)"
"IN","29005","Fishers Fire Department","2023","7","419","1 or 2 family dwelling","No","3","14","Common room, den, family room, living room, lounge","2","fishers","in","46037","NNN","SRID=4326;POINT(-85.943447 39.967498)"
"KS","BU411","Andover Fire and Rescue","2023","12","419","1 or 2 family dwelling","No","13","14","Common room, den, family room, living room, lounge","1","andover","ks","67002","","SRID=4326;POINT(-97.131647 37.672926)"
"IN","65005","Fire Station","2023","11","808","Outbuilding or shed","No","21","90","Outside area, other","4","new harmony","in","47631","NNN","SRID=4326;POINT(-87.849928 38.126612)"
"IN","53005","Ellettsville Fire Dept Statio","2023","12","419","1 or 2 family dwelling","No","15","40","Storage area, other","4","ellettsville","in","47429","NNN","SRID=4326;POINT(-86.619295 39.227134)"
"KS","BU417","Butler Co Fire Dist10","2023","6","419","1 or 2 family dwelling","No","8","80","Vehicle area, other","4","burns","ks","66840","715","SRID=4326;POINT(-96.956392 38.042011)"
"KS","LY101","EMPORIA FIRE DEPARTMENT","2023","8","419","1 or 2 family dwelling","No","16","21","Bedroom - < 5 persons; included are jail or prison","1","emporia","ks","66801","NNN","SRID=4326;POINT(-96.199823 38.41484)"
"KS","CL201","Arkansas City Fire Dept","2023","7","419","1 or 2 family dwelling","Yes","2","24","Cooking area, kitchen","1","arkansas city","ks","67005","NNN","SRID=4326;POINT(-97.033834 37.073821)"
"KS","GE101","Junction City Fire Department","2023","12","419","1 or 2 family dwelling","No","0","21","Bedroom - < 5 persons; included are jail or prison","2","junction city","ks","66441","NNN","SRID=4326;POINT(-96.853641 39.040125)"
"KS","JO102","Overland Park Fire Department","2023","10","419","1 or 2 family dwelling","No","2","24","Cooking area, kitchen","2","johnson county","ks","66085","","SRID=4326;POINT(-94.663482 38.790938)"
"KS","WY101","KANSAS CITY FIRE DEPARTMENT","2023","4","419","1 or 2 family dwelling","No","16","40","Storage area, other","4","kansas city","ks","66103","100","SRID=4326;POINT(-94.62822 39.047942)"
"KS","SG202","Derby Fire Department","2023","6","419","1 or 2 family dwelling","No","15","47","Vehicle storage area; garage, carport","2","derby","ks","67037","","SRID=4326;POINT(-97.230852 37.553976)"
"KY","56290","LOUISVILLE","2023","8","NNN","None","No","13","24","Cooking area, kitchen","2","louisville","ky","40213","NNN","SRID=4326;POINT(-85.729588 38.19396)"
"KY","34155","LEXINGTON","2023","6","400","Residential, other","No","18","47","Vehicle storage area; garage, carport","2","lexington","ky","40515","NNN","SRID=4326;POINT(-84.500326 37.964837)"
"KY","08035","POINT PLEASANT","2023","1","419","1 or 2 family dwelling","No","12","42","Closet","2","boonecounty","ky","41018","","SRID=4326;POINT(-84.632427 39.036761)"
"LA","40065","PINEVILLE FD","2023","10","965","Vehicle parking area","No","16","00","Other",NULL,"pineville","la","71360","","SRID=4326;POINT(-92.39612 31.374242)"
"LA","17040","ST GEORGE FIRE PROT DIST","2023","8","891","Warehouse","No","6","43","Storage: supplies or tools; dead storage","2","baton rouge","la","70816","","SRID=4326;POINT(-91.056314 30.403686)"
"LA","03020","CITY OF GONZALES FD","2023","12","891","Warehouse","No","8","45","Shipping/receiving area; loading area, dock or bay","4","gonzales","la","70737","313","SRID=4326;POINT(-90.924292 30.239375)"
"LA","47030","ST JAMES VOL FIRE DEPT","2023","3","419","1 or 2 family dwelling","No","23","47","Vehicle storage area; garage, carport","2","vacherie","la","70090","","SRID=4326;POINT(-90.678497 29.933581)"
"MA","05027","BERKLEY","2023","5","419","1 or 2 family dwelling","No","11","71","Substructure area or space, crawl space","3","berkley","ma","02779","","SRID=4326;POINT(-71.061157 41.843815)"
"MA","03022","BECKET","2023","10","419","1 or 2 family dwelling","No","0","72","Exterior balcony, unenclosed porch","4","becket","ma","01223","411","SRID=4326;POINT(-73.103468 42.3418)"
"MA","01075","DENNIS","2023","2","419","1 or 2 family dwelling","No","23","21","Bedroom - < 5 persons; included are jail or prison","1","south dennis","ma","02660","","SRID=4326;POINT(-70.159203 41.708902)"
"MA","05094","FAIRHAVEN","2023","8","419","1 or 2 family dwelling","No","15","47","Vehicle storage area; garage, carport","1","fairhaven","ma","02719","NNN","SRID=4326;POINT(-70.902161 41.659808)"
"MA","05102","FREETOWN","2023","10","419","1 or 2 family dwelling","No","16","40","Storage area, other","1","freetown","ma","02717","","SRID=4326;POINT(-70.97077 41.736325)"
"MA","05095","FALL RIVER","2023","8","429","Multifamily dwellings","No","19","14","Common room, den, family room, living room, lounge","2","fall river","ma","02723","412","SRID=4326;POINT(-71.136889 41.690291)"
"MA","05095","FALL RIVER","2023","4","429","Multifamily dwellings","Yes","10","41","Storage room, area, tank, or bin","2","fall river","ma","02724","","SRID=4326;POINT(-71.183917 41.68315)"
"MA","17232","PEPPERELL","2023","8","419","1 or 2 family dwelling","No","5","47","Vehicle storage area; garage, carport","1","pepperell","ma","01463","","SRID=4326;POINT(-71.629161 42.692353)"
"MA","17232","PEPPERELL","2023","9","419","1 or 2 family dwelling","No","16","86","Exterior, exposed surface","4","pepperell","ma","01463","","SRID=4326;POINT(-71.60829 42.671631)"
"MA","17037","BOXBOROUGH","2023","12","419","1 or 2 family dwelling","No","11","00","Other","2","boxborough","ma","01719","","SRID=4326;POINT(-71.528892 42.500418)"
"MA","21025","BELLINGHAM","2023","2","419","1 or 2 family dwelling","No","20","40","Storage area, other","3","bellingham","ma","02019","","SRID=4326;POINT(-71.494953 42.030062)"
"MA","23044","BROCKTON","2023","7","881","Parking garage, (detached residential garage)","No","9","43","Storage: supplies or tools; dead storage","2","brockton","ma","02301","","SRID=4326;POINT(-71.024781 42.097687)"
"MA","23044","BROCKTON","2023","1","429","Multifamily dwellings","No","19","71","Substructure area or space, crawl space","4","brockton","ma","02301","","SRID=4326;POINT(-71.027577 42.077597)"
"MA","21099","FOXBOROUGH","2023","5","123","Stadium, arena","No","7","25","Bathroom, checkroom, lavatory, locker room","1","foxborough","ma","02035","","SRID=4326;POINT(-71.27287 42.08668)"
"MA","27226","OXFORD","2023","6","500","Mercantile, business, other","No","8","28","Personal service area, barber/beauty salon area","2","n oxford","ma","01537","","SRID=4326;POINT(-71.881358 42.16994)"
"MA","21101","FRANKLIN","2023","3","419","1 or 2 family dwelling","No","23","24","Cooking area, kitchen","1","franklin","ma","02038","","SRID=4326;POINT(-71.436234 42.044218)"
"MA","25035","BOSTON","2023","9","429","Multifamily dwellings","No","10","21","Bedroom - < 5 persons; included are jail or prison","2","boston","ma","02119","","SRID=4326;POINT(-71.090811 42.328069)"
"MA","23044","BROCKTON","2023","8","419","1 or 2 family dwelling","No","10","47","Vehicle storage area; garage, carport","2","brockton","ma","02302","","SRID=4326;POINT(-70.994467 42.095299)"
"MA","23131","HINGHAM","2023","10","557","Personal service, including barber & beauty shops","No","20","28","Personal service area, barber/beauty salon area","2","hingham","ma","02043","","SRID=4326;POINT(-70.887593 42.242809)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","2","429","Multifamily dwellings","No","14","24","Cooking area, kitchen","1","silver spring","md","20906","","SRID=4326;POINT(-77.063963 39.105854)"
"MD","06014","WINFIELD","2023","1","419","1 or 2 family dwelling","No","16","40","Storage area, other","2","westminster","md","21157","","SRID=4326;POINT(-77.040802 39.467992)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","11","419","1 or 2 family dwelling","No","20","21","Bedroom - < 5 persons; included are jail or prison","2","bethesda","md","20817","","SRID=4326;POINT(-77.144195 38.985411)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","8","429","Multifamily dwellings","No","22","00","Other","1","silver spring","md","20902","","SRID=4326;POINT(-77.029382 39.037623)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","7","429","Multifamily dwellings","No","8","20","Function area, other","1","bethesda","md","20814","","SRID=4326;POINT(-77.106408 39.017082)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","7","419","1 or 2 family dwelling","No","11","70","Structural area, other","4","silver spring","md","20906","","SRID=4326;POINT(-77.08742 39.049469)"
"MD","21009","LEITERSBURG VOL FIRE COMPANY","2023","2","419","1 or 2 family dwelling","No","4","21","Bedroom - < 5 persons; included are jail or prison","1","hagerstown","md","21742","","SRID=4326;POINT(-77.657213 39.661306)"
"MD","16020","MARLBORO VFD","2023","9","888","Fire station","No","5","83","Engine area, running gear, wheel area","2","upper marlboro","md","20772","132","SRID=4326;POINT(-76.747739 38.817244)"
"MD","15555","MONTGOMERY CTY FIRE DEPT","2023","12","419","1 or 2 family dwelling","No","14","47","Vehicle storage area; garage, carport","4","silver spring","md","20905","","SRID=4326;POINT(-77.017953 39.136742)"
"ME","F3460","Monmouth Fire Department","2023","12","881","Parking garage, (detached residential garage)","No","13","47","Vehicle storage area; garage, carport","2","monmouth","me","04259","","SRID=4326;POINT(-70.029228 44.209604)"
"MD","21027","LONG MEADOW VOL FIRE COMPANY","2023","10","700","Manufacturing, processing","No","10","38","Processing/manufacturing area, workroom","2","hagerstown","md","21742","","SRID=4326;POINT(-77.727395 39.680348)"
"ME","J3830","Orrington Fire Department","2023","6","419","1 or 2 family dwelling","No","19","24","Cooking area, kitchen","2","orrington","me","04474","NNN","SRID=4326;POINT(-68.790524 44.711722)"
"ME","D2340","Farmington Fire Department","2023","4","579","Motor vehicle or boat sales, services, repair","No","19","65","Maintenance shop or area, paint shop or area","4","farmington","me","04938","","SRID=4326;POINT(-70.12481 44.607783)"
"MI","02306","Grand Ledge Fire Department","2023","11","881","Parking garage, (detached residential garage)","No","23","47","Vehicle storage area; garage, carport","2","grand ledge","mi","48837","","SRID=4326;POINT(-84.739254 42.683901)"
"ME","L4740","Topsham Fire Department","2023","8","881","Parking garage, (detached residential garage)","No","6","47","Vehicle storage area; garage, carport","5","topsham","me","04086","","SRID=4326;POINT(-69.978504 43.918948)"
"MI","02306","Grand Ledge Fire Department","2023","11","419","1 or 2 family dwelling","No","23","47","Vehicle storage area; garage, carport","2","grand ledge","mi","48837","","SRID=4326;POINT(-84.739254 42.683901)"
"MI","02518","MUNDY TOWNSHIP FIRE DEPARTMENT","2023","6","808","Outbuilding or shed","No","7","47","Vehicle storage area; garage, carport","4","mundy township","mi","48473","NNN","SRID=4326;POINT(-83.802814 42.913332)"
"MI","03304","Lansing FD","2023","6","429","Multifamily dwellings","No","0","72","Exterior balcony, unenclosed porch","2","lansing","mi","48911","","SRID=4326;POINT(-84.56111 42.661007)"
"MI","02514","Linden Fire Department","2023","11","419","1 or 2 family dwelling","No","14","47","Vehicle storage area; garage, carport","2","linden","mi","48451","","SRID=4326;POINT(-83.781734 42.817967)"
"MI","04118","Rockford FD","2023","11","419","1 or 2 family dwelling","No","13","21","Bedroom - < 5 persons; included are jail or prison","2","rockford","mi","49341","NNN","SRID=4326;POINT(-85.567153 43.113241)"
"MI","04112","GRAND RAPIDS FIRE DEPARTMENT","2023","3","419","1 or 2 family dwelling","No","10","21","Bedroom - < 5 persons; included are jail or prison","2","grand rapids","mi","49504","NNN","SRID=4326;POINT(-85.745569 42.987414)"
"MI","04113","Grandville Fire Department","2023","4","365","Police station","No","22","14","Common room, den, family room, living room, lounge","2","grandville","mi","49418","","SRID=4326;POINT(-85.763064 42.906717)"
"MI","05018","SHELBY TOWNSHIP FIRE DEPT","2023","8","419","1 or 2 family dwelling","No","17","47","Vehicle storage area; garage, carport","2","shelby township","mi","48316","NNN","SRID=4326;POINT(-83.080271 42.67841)"
"MI","05003","Chesterfield Township FD2","2023","9","419","1 or 2 family dwelling","No","8","47","Vehicle storage area; garage, carport","2","chesterfield townshi","mi","48047","448","SRID=4326;POINT(-82.795011 42.678195)"
"MI","05606","Station 1","2023","6","419","1 or 2 family dwelling","No","16","24","Cooking area, kitchen","2","midland","mi","48642","","SRID=4326;POINT(-84.230625 43.63259)"
"MI","05209","Palmer FD","2023","4","881","Parking garage, (detached residential garage)","No","0","47","Vehicle storage area; garage, carport","1","palmer","mi","49871","NNN","SRID=4326;POINT(-87.588205 46.439938)"
"MI","05013","RICHMOND VOL.FIRE DEPARTMENT","2023","6","400","Residential, other","No","8","71","Substructure area or space, crawl space","1","columbus","mi","48063","","SRID=4326;POINT(-82.65865 42.854249)"
"MI","06342","Waterford Township FD","2023","5","400","Residential, other","No","0","47","Vehicle storage area; garage, carport","4","waterford twp","mi","48327","","SRID=4326;POINT(-83.44234 42.642774)"
"MI","05813","Monroe City Fire Department","2023","3","429","Multifamily dwellings","No","10","01","Corridor, mall","1","city of monroe","mi","48162","NNN","SRID=4326;POINT(-83.408334 41.920576)"
"MI","06325","Madison Heights Fire Depart","2023","4","635","Computer center","No","16","15","Sales area, showroom (exclude display window)","1","madison heights","mi","48071","","SRID=4326;POINT(-83.114455 42.53296)"
"MI","05909","Lakeview District FD","2023","11","210","Schools, non-adult","No","9","14","Common room, den, family room, living room, lounge","2","lakeview","mi","48850","NNN","SRID=4326;POINT(-85.283163 43.435457)"
"MI","06333","Auburn Hills FD","2023","4","700","Manufacturing, processing","No","11","38","Processing/manufacturing area, workroom","1","auburn hills","mi","48326","","SRID=4326;POINT(42.698421 -83.263487)"
"MI","07204","Higgins twp.Fire/Ems","2023","4","419","1 or 2 family dwelling","No","17","47","Vehicle storage area; garage, carport","1","roscommon","mi","48653","324","SRID=4326;POINT(-84.595585 44.488462)"
"MI","06342","Waterford Township FD","2023","3","419","1 or 2 family dwelling","No","18","21","Bedroom - < 5 persons; included are jail or prison","2","pontiac","mi","48342","","SRID=4326;POINT(-83.258002 42.649361)"
"MI","07415","PORT HURON FD central","2023","5","808","Outbuilding or shed","No","8","47","Vehicle storage area; garage, carport","4","port huron","mi","48060","","SRID=4326;POINT(-82.44168 42.982443)"
"MI","06342","Waterford Township FD","2023","1","700","Manufacturing, processing","No","10","30","Technical processing areas, other","2","pontiac","mi","48342","","SRID=4326;POINT(-83.255365 42.648869)"
"MI","08013","South Haven Emergency Services","2023","9","419","1 or 2 family dwelling","No","1","21","Bedroom - < 5 persons; included are jail or prison","2","south haven","mi","49090","","SRID=4326;POINT(-86.27364 42.40309)"
"MI","08207","Detroit FD","2023","10","700","Manufacturing, processing","No","12","38","Processing/manufacturing area, workroom","2","detroit","mi","48211","325, 561","SRID=4326;POINT(-83.044824 42.375825)"
"MI","08106","Manchester Township FD","2023","4","419","1 or 2 family dwelling","No","17","47","Vehicle storage area; garage, carport","2","manchester","mi","48158","","SRID=4326;POINT(-84.066804 42.149576)"
"MI","08101","STATION ONE","2023","12","331","Hospital - medical or psychiatric","No","8","27","Office","1","ann arbor","mi","48109","NNN","SRID=4326;POINT(-83.728923 42.283663)"
"MI","08224","Huron Township FD","2023","5","419","1 or 2 family dwelling","No","0","26","Laundry area, wash house (laundry)","2","romulus","mi","48174","NNN","SRID=4326;POINT(-83.314105 42.146755)"
"MI","08207","Detroit FD","2023","12","700","Manufacturing, processing","Yes","15","45","Shipping/receiving area; loading area, dock or bay","3","detroit","mi","48211","436, 510, 424","SRID=4326;POINT(-83.044824 42.375825)"
"MI","08207","Detroit FD","2023","12","419","1 or 2 family dwelling","Yes","12","71","Substructure area or space, crawl space","4","detroit","mi","48210","","SRID=4326;POINT(-83.150449 42.324668)"
"MN","24201","ALBERT LEA FIRE DEPT","2023","1","419","1 or 2 family dwelling","No","17","24","Cooking area, kitchen","4","albert lea","mn","56007","138","SRID=4326;POINT(-93.367467 43.658)"
"MI","08229","LIVONIA FIRE RESCUE","2023","1","700","Manufacturing, processing","No","14","38","Processing/manufacturing area, workroom","1","livonia","mi","48150","","SRID=4326;POINT(-83.320196 42.369643)"
"MN","27218","MINNEAPOLIS FIRE DEPT","2023","5","419","1 or 2 family dwelling","No","18","00","Other","2","minneapolis","mn","55411","NNN","SRID=4326;POINT(-93.304127 44.987029)"
"MI","08244","TAYLOR FIRE DEPARTMENT","2023","8","UUU","Undetermined","No","11","70","Structural area, other","1","taylor","mi","48180","","SRID=4326;POINT(-83.305218 42.238399)"
"MO","09205","Wentzville Fire Prot Dist","2023","7","419","1 or 2 family dwelling","No","9","47","Vehicle storage area; garage, carport","2","wentzville","mo","63385","","SRID=4326;POINT(-90.901057 38.80999)"
"MN","27218","MINNEAPOLIS FIRE DEPT","2023","6","881","Parking garage, (detached residential garage)","No","14","47","Vehicle storage area; garage, carport","4","minneapolis","mn","55419","NNN","SRID=4326;POINT(-93.302651 44.904549)"
"MN","62210","ST PAUL FIRE DEPT","2023","5","460","Dormitory type residence, other","No","3","21","Bedroom - < 5 persons; included are jail or prison","2","saint paul","mn","55114","NNN","SRID=4326;POINT(-93.191978 44.968406)"
"MO","08302","Riverside Public Safety","2023","2","891","Warehouse","No","9","00","Other",NULL,"riverside","mo","64150","313","SRID=4326;POINT(-94.648499 39.170246)"
"MN","62210","ST PAUL FIRE DEPT","2023","5","429","Multifamily dwellings","Yes","11","14","Common room, den, family room, living room, lounge","2","saint paul","mn","55106","NNN","SRID=4326;POINT(-93.042619 44.956152)"
"MN","62210","ST PAUL FIRE DEPT","2023","5","429","Multifamily dwellings","Yes","6","22","Bedroom - 5+ persons; including barrack/dormitory","5","saint paul","mn","55130","NNN","SRID=4326;POINT(-93.080454 44.958026)"
"NC","01117","SWANNANOA FIRE","2023","10","419","1 or 2 family dwelling","No","7","47","Vehicle storage area; garage, carport","2","swannanoa","nc","28778","","SRID=4326;POINT(-82.408163 35.607872)"
"MO","09525","Clayton Fire Department","2023","7","361","Jail, prison (not juvenile)","No","10","21","Bedroom - < 5 persons; included are jail or prison","2","clayton","mo","63105","","SRID=4326;POINT(-90.337819 38.648581)"
"NC","01413","The Yadkin Valley VFD","2023","3","419","1 or 2 family dwelling","No","12","47","Vehicle storage area; garage, carport","1","lenoir","nc","28645","","SRID=4326;POINT(-81.481828 36.019861)"
"MS","25015","City of Byram FD","2023","11","419","1 or 2 family dwelling","No","6","00","Other","2","byram","ms","39272","NNN","SRID=4326;POINT(-90.290057 32.183051)"
"MT","07018","Evergreen RFD","2023","9","899","Residential or self storage units","No","8","43","Storage: supplies or tools; dead storage","2","evergreen","mt","59901","","SRID=4326;POINT(-114.276234 48.248202)"
"NC","02607","CITY HALL","2023","7","419","1 or 2 family dwelling","No","3","42","Closet","1","fayetteville","nc","28314","NNN","SRID=4326;POINT(-79.010295 35.056624)"
"NC","03203","Durham Fire Department","2023","3","419","1 or 2 family dwelling","No","19","21","Bedroom - < 5 persons; included are jail or prison","2","durham","nc","27704","","SRID=4326;POINT(-78.822699 36.025162)"
"NC","02618","Grays Creek VFD TwentyFour","2023","5","419","1 or 2 family dwelling","No","11","47","Vehicle storage area; garage, carport","3","fayetteville","nc","28306","","SRID=4326;POINT(-78.818121 34.919501)"
"NC","04909","Statesville Fire Department","2023","10","700","Manufacturing, processing","No","4","45","Shipping/receiving area; loading area, dock or bay","2","statesville","nc","28677","","SRID=4326;POINT(-80.871386 35.774946)"
"NC","04510","Mountain Home Fire and Rescue","2023","9","419","1 or 2 family dwelling","No","17","47","Vehicle storage area; garage, carport","2","hendersonville","nc","28791","NNN","SRID=4326;POINT(-82.500574 35.374523)"
"NC","04901","CENTRAL SCHOOL VFD INC","2023","7","808","Outbuilding or shed","No","16","47","Vehicle storage area; garage, carport","4","central","nc","28625","","SRID=4326;POINT(-80.910461 35.960777)"
"NC","06002","Charlotte Fire Department","2023","11","700","Manufacturing, processing","No","2","86","Exterior, exposed surface","4","charlotte","nc","28217","NNN","SRID=4326;POINT(-80.888136 35.195686)"
"NC","06711","PINEY GREEN VOLUNTEER FIRE DEP","2023","11","808","Outbuilding or shed","No","18","43","Storage: supplies or tools; dead storage","5","midway park","nc","28544","","SRID=4326;POINT(-77.313638 34.728232)"
"NC","05119","North Side Fire Rescue","2023","3","419","1 or 2 family dwelling","No","10","21","Bedroom - < 5 persons; included are jail or prison","2","clayton","nc","27527","","SRID=4326;POINT(-78.346342 35.667201)"
"NC","05503","Head Quarters","2023","6","419","1 or 2 family dwelling","No","12","14","Common room, den, family room, living room, lounge","2","denver","nc","28037","","SRID=4326;POINT(-81.057858 35.551343)"
"NC","06714","RICHLANDS VOLUNTEER FIRE DEPAR","2023","8","579","Motor vehicle or boat sales, services, repair","No","19","65","Maintenance shop or area, paint shop or area","2","richlands","nc","28574","","SRID=4326;POINT(-77.522242 34.881819)"
"NC","08702","Volunteer","2023","5","419","1 or 2 family dwelling","No","0","72","Exterior balcony, unenclosed porch","2","cherokee","nc","28719","","SRID=4326;POINT(-83.256439 35.459014)"
"NC","09203","Cary Fire Department","2023","2","419","1 or 2 family dwelling","No","1","21","Bedroom - < 5 persons; included are jail or prison","2","cary","nc","27513","","SRID=4326;POINT(-78.842647 35.774372)"
"ND","08029","Bismarck Fire Dept","2023","7","429","Multifamily dwellings","Yes","18","47","Vehicle storage area; garage, carport","2","bismarck","nd","58501","","SRID=4326;POINT(-100.815166 46.809753)"
"NC","09203","Cary Fire Department","2023","9","429","Multifamily dwellings","No","22","21","Bedroom - < 5 persons; included are jail or prison","2","cary","nc","27513","NNN","SRID=4326;POINT(-78.787267 35.809535)"
"ND","18141","Grand Forks Fire Department","2023","12","419","1 or 2 family dwelling","Yes","10","14","Common room, den, family room, living room, lounge","2","grand forks","nd","58203","","SRID=4326;POINT(-97.042862 47.920441)"
"ND","08030","Bismarck Fire Prot District","2023","6","808","Outbuilding or shed","No","21","80","Vehicle area, other","4","bismarck","nd","58504","","SRID=4326;POINT(-100.654575 46.769877)"
"NC","09505","Deep Gap VFD","2023","1","419","1 or 2 family dwelling","No","12","20","Function area, other","2","deep gap","nc","28618","","SRID=4326;POINT(-81.473969 36.224467)"
"ND","18141","Grand Forks Fire Department","2023","6","449","Hotel/motel, commercial","No","10","14","Common room, den, family room, living room, lounge","2","grand forks","nd","58201","","SRID=4326;POINT(-97.0881501614001 47.9103494229886)"
"NH","42112","Littleton Fire Department","2023","2","213","Elementary school, including kindergarten","No","19","27","Office","2","littletontown of","nh","03561","","SRID=4326;POINT(-71.758633 44.309495)"
"ND","39362","Wahpeton Fire Department","2023","9","500","Mercantile, business, other","No","17","33","Treatment - first aid area, surgery area","2","wahpeton","nd","58075","","SRID=4326;POINT(-96.616265 46.266468)"
"NH","51714","Manchester Fire Department","2023","2","215","High school/junior high school/middle school","No","11","30","Technical processing areas, other",NULL,"manchester","nh","03102","NNN","SRID=4326;POINT(-71.474648 42.986398)"
"NH","42112","Littleton Fire Department","2023","2","213","Elementary school, including kindergarten","No","19","27","Office","2","littletontown of","nh","03561","NNN","SRID=4326;POINT(-71.758633 44.309495)"
"NJ","14122","WHIPPANY FIRE DEPARTMENT","2023","6","419","1 or 2 family dwelling","No","20","20","Function area, other","4","whippany","nj","07981","","SRID=4326;POINT(-74.436063 40.81463)"
